ID,Start Time,End Time,Wheel (counts),Total Distance Traveled (ft),Velocity (ft/hr)
002100000A2B0,2020-12-04 13:35:29,2020-12-04 13:35:41,0,0.0,0.0
000077D1AD212A,2020-12-04 13:35:46,2020-12-04 13:36:32,90,1024.94460323367,1336.8842650873955
000077D1AD212A,2020-12-04 13:36:47,2020-12-04 13:37:03,36,409.977841293468,1537.416904850505
002100000A2B0,2020-12-04 13:37:48,2020-12-04 13:38:48,34,387.201294554942,387.201294554942
000077D1AD212A,2020-12-04 13:38:59,2020-12-04 13:39:20,71,808.567409217673,2310.19259776478
